LIB_ID,LIB_NAME,FIPS_ST,FIPS_CO,COUNTY_POP,LAT,LON
FL0003-013,MURRAY HILL BRANCH,12,31,887322,30.313209,-81.719171
FL0003-014,HIGHLANDS REGIONAL BRANCH,12,31,887322,30.43428,-81.674804
FL0003-015,DALLAS GRAHAM BRANCH,12,31,887322,30.351715,-81.675803
FL0003-017,BROWN EASTSIDE BRANCH,12,31,887322,30.339983,-81.640314
FL0003-019,SAN MARCO BRANCH,12,31,887322,30.308933,-81.653409
FL0003-021,BRENTWOOD BRANCH,12,31,887322,30.361755,-81.657455
FL0003-023,SOUTHEAST REGIONAL BRANCH,12,31,887322,30.247661,-81.539614
FL0003-024,ARGYLE BRANCH,12,31,887322,30.202094,-81.821594
FL0003-025,MAXVILLE BRANCH,12,31,887322,30.202147,-82.009547
FL0003-026,SOUTH MANDARIN BRANCH,12,31,887322,30.150078,-81.632514
FL0003-027,WEST REGIONAL,12,31,887322,30.293968,-81.848573
FL0003-028,UNIVERSITY PARK BRANCH,12,31,887322,30.361563,-81.606005
FL0003-029,PABLO CREEK REGIONAL BRANCH,12,31,887322,30.2878181,-81.4521653
FL0004-003,BAY COUNTY PUBLIC LIBRARY,12,5,174966,30.167948,-85.67189
FL0004-005,LIBERTY COUNTY LIBRARY/HARRELL MEMORIAL LIBRARY,12,77,8328,30.427602,-84.981795
FL0004-007,PANAMA CITY BEACH LIBRARY,12,5,174966,30.1975465,-85.8323893
FL0004-009,SPRINGFIELD BRANCH,12,5,174966,30.155426,-85.616475
FL0004-010,PORT ST. JOE LIBRARY/GULF COUNTY LIBRARY,12,45,15805,29.8157317,-85.2894412
FL0004-012,WEWA BRANCH LIBRARY,12,45,15805,30.115145,-85.19893
FL0004-013,PARKER PUBLIC LIBRARY,12,5,174966,30.130002,-85.605081
FL0004-014,HOSFORD BRANCH LIBRARY,12,77,8328,30.3920277,-84.8022742
FL0005-002,ORLANDO PUBLIC LIBRARY,12,95,1226764,28.542187,-81.376276
FL0005-003,ALAFAYA BRANCH,12,95,1226764,28.5662,-81.202294
FL0005-004,EDGEWATER BRANCH,12,95,1226764,28.605372,-81.409164
FL0005-005,NORTH ORANGE BRANCH,12,95,1226764,28.67313,-81.488233
FL0005-006,WEST OAKS BRANCH,12,95,1226764,28.573686,-81.514123
FL0005-007,SOUTH TRAIL BRANCH,12,95,1226764,28.4963583,-81.3968649
FL0005-008,SOUTHEAST BRANCH,12,95,1226764,28.482179,-81.31002
FL0005-009,SOUTHWEST BRANCH,12,95,1226764,28.456247,-81.490104
FL0005-010,WASHINGTON PARK BRANCH,12,95,1226764,28.527757,-81.447769
FL0005-012,SOUTH CREEK BRANCH,12,95,1226764,28.378496,-81.401306
FL0005-013,WINDERMERE BRANCH,12,95,1226764,28.494479,-81.534677
FL0005-015,HERNDON BRANCH,12,95,1226764,28.553331,-81.331308
FL0005-016,HIAWASSEE BRANCH,12,95,1226764,28.552105,-81.481067
FL0005-017,EATONVILLE BRANCH,12,95,1226764,28.618321,-81.381908
